Note: does not include group expenses

Date,Description,Category,Cost,Currency,John Doe,Jane Doe

2016-11-27,Patiki,General,3849.00,MKD,3849.00,-3849.00
2016-11-27,Kaciga,General,4000.00,MKD,4000.00,-4000.00
2016-11-28,Palto,General,6500.00,MKD,-6500.00,6500.00
2017-03-16,Kredit rata 03.2017,General,7019.00,MKD,7019.00,-7019.00
2017-04-03,Novcanik,General,500.00,MKD,-500.00,500.00
2017-04-12,Tocak,General,300.00,MKD,-150.00,150.00
2017-04-18,Kredit rata 04.2017,General,7116.00,MKD,7116.00,-7116.00
2017-05-06,Kirija,General,11100.00,MKD,-5550.00,5550.00
2017-05-06,"Maici, gakji",General,2400.00,MKD,-1200.00,1200.00
2017-05-06,LG 49UH6107,General,33000.00,MKD,16500.00,-16500.00
2017-05-07,Evn 03-04,General,847.00,MKD,423.50,-423.50
2017-05-07,Beg 03.2017,General,1682.00,MKD,841.00,-841.00
2017-05-07,Jane D. paid John D.,Payment,8838.00,MKD,-8838.00,8838.00
2017-05-07,Jane D. paid John D.,Payment,17000.00,MKD,-17000.00,17000.00
2017-05-07,Telekabel 04.2017,General,850.00,MKD,425.00,-425.00
2017-05-13,Zemeni,General,500.00,MKD,-500.00,500.00
2017-05-19,Kredit rata 05.2017,Mortgage,14303.00,MKD,7151.50,-7151.50
2017-05-20,Servis tochak,Sports,3790.00,MKD,1895.00,-1895.00
2017-05-29,Pazarenja (nekolku),General,1200.00,MKD,-600.00,600.00
2017-06-03,Nekolku pazarenja za nas i loki,General,1600.00,MKD,800.00,-800.00
2017-06-03,Telekabel 05.2017,General,850.00,MKD,425.00,-425.00
2017-06-03,Beg 04.2017,General,1683.00,MKD,841.50,-841.50
2017-06-08,Pazarenja,General,1200.00,MKD,-600.00,600.00
2017-06-08,Vodovod 04.2017,General,254.00,MKD,127.00,-127.00
2017-06-08,Vodovod 05.2017,General,503.00,MKD,251.50,-251.50
2017-06-08,EVN 04.2017-05.2017,General,837.00,MKD,418.50,-418.50
2017-06-08,Jane D. paid John D.,Payment,5000.00,MKD,-5000.00,5000.00
2017-06-14,Kirija,General,11100.00,MKD,-5550.00,5550.00
2017-06-15,Pazarenje,General,350.00,MKD,-175.00,175.00
2017-06-16,Pazarenje,General,500.00,MKD,-250.00,250.00
2017-06-17,Kredit rata 06.2017,Mortgage,14303.00,MKD,7151.50,-7151.50
2017-06-24,LED sijalici,General,705.00,MKD,352.50,-352.50
2017-07-08,Pazarenje,General,600.00,MKD,-300.00,300.00
2017-07-08,Guma i lepenki,General,600.00,MKD,300.00,-300.00
2017-07-14,Kirija,General,11000.00,MKD,-5500.00,5500.00
2017-07-18,Pazarenje,General,400.00,MKD,-200.00,200.00
2017-07-19,Dolg kon drug,General,800.00,MKD,800.00,-800.00
2017-07-19,Kredit rata 07.2017,Mortgage,14251.00,MKD,7125.50,-7125.50
2017-07-27,Pazarenje,General,800.00,MKD,-400.00,400.00
2017-08-08,Kirija,General,11000.00,MKD,-5500.00,5500.00
2017-08-08,Pazarenje - sredstvo,General,1200.00,MKD,-600.00,600.00
2017-08-09,Pivolend,General,300.00,MKD,-300.00,300.00
2017-08-16,Vodovod 07.3017,General,534.00,MKD,267.00,-267.00
2017-08-16,Vodovod 06.2017,General,255.00,MKD,127.50,-127.50
2017-08-16,BEG 05/06/07.2017,General,5084.00,MKD,2542.00,-2542.00
2017-08-16,Evn 05.2017-07.2017,General,1712.00,MKD,856.00,-856.00
2017-08-16,Telekabel 06/07.2017,General,1700.00,MKD,850.00,-850.00
2017-08-16,Kredit 08.2017,General,14233.00,MKD,7116.50,-7116.50
2017-08-17,Pazarenje (detergent i sladoledi),Household supplies,400.00,MKD,200.00,-200.00
2017-08-21,Pazarenje 21.08,General,980.00,MKD,-490.00,490.00
2017-08-21,Farmerki,General,2480.00,MKD,-2480.00,2480.00
2017-08-21,Cevlar,General,1200.00,MKD,-600.00,600.00
2017-08-22,Nescafe x2,General,480.00,MKD,-240.00,240.00
2017-09-01,150 e,General,9260.00,MKD,-9260.00,9260.00
2017-09-01,Kirija (65 e),General,4000.00,MKD,-2000.00,2000.00
2017-09-01,Kukjen sovet za 5 meseci,General,1000.00,MKD,-500.00,500.00
2017-09-25,Plocki,General,3100.00,MKD,-1550.00,1550.00
2017-09-25,2 mini pazarenja,General,400.00,MKD,200.00,-200.00
2017-09-25,Kredit 09.2017,Mortgage,14300.00,MKD,7150.00,-7150.00
2017-09-25,Vodovod 08.2017,General,536.00,MKD,268.00,-268.00
2017-09-25,Evn 07-08.2017,General,867.00,MKD,433.50,-433.50
2017-09-25,Parno 08.2017,General,1623.00,MKD,811.50,-811.50
2017-10-03,Pazarenje ,General,700.00,MKD,-350.00,350.00
2017-10-03,Mini pazarenje,General,500.00,MKD,250.00,-250.00
2017-10-17,Kukjen sovet,General,400.00,MKD,-200.00,200.00
2017-10-17,Kirija,General,1200.00,MKD,600.00,-600.00
2017-10-17,Kredit 10.2017,General,14227.00,MKD,7113.50,-7113.50
2017-10-24,Pazarenje,General,1750.00,MKD,-875.00,875.00
2017-10-24,Jane D. paid John D.,Payment,4000.00,MKD,-4000.00,4000.00
2017-10-26,Jane D. paid John D.,Payment,10000.00,MKD,-10000.00,10000.00
2017-10-30,Pazarenja,General,400.00,MKD,-200.00,200.00
2017-11-01,Vidovod 10.2017,General,253.00,MKD,126.50,-126.50
2017-11-01,Parno 09.2017,General,1676.00,MKD,838.00,-838.00
2017-11-01,Evn 08-09.2017,General,964.00,MKD,482.00,-482.00
2017-11-01,Evn 09-10.2017,General,769.00,MKD,384.50,-384.50
2017-11-11,Pazarenje,General,600.00,MKD,-300.00,300.00
2017-11-12,Baterija laptop,Electronics,1630.00,MKD,1630.00,-1630.00
2017-11-12,Telefon futrola,General,316.00,MKD,316.00,-316.00
2017-11-12,Mashina pajnci,General,16448.00,MKD,8224.00,-8224.00
2017-11-12,Mashina za alishta,General,23000.00,MKD,11500.00,-11500.00
2017-11-12,Pazarenje,General,700.00,MKD,-350.00,350.00
2017-11-12,Furna,General,10000.00,MKD,5000.00,-5000.00
2017-11-12,Kumanovo,General,500.00,MKD,-250.00,250.00
2017-11-13,Jane D. paid John D.,Payment,30000.00,MKD,-30000.00,30000.00
2017-11-13,Plotna,General,6600.00,MKD,3300.00,-3300.00
2017-11-13,Benzin,General,2900.00,MKD,2900.00,-2900.00
2017-11-14,Pazarenje,General,400.00,MKD,-200.00,200.00
2017-11-14,Kirija,General,11100.00,MKD,-5550.00,5550.00
2017-11-16,Pazarenje,General,500.00,MKD,-250.00,250.00
2017-11-18,Kredit 11.2017,General,14229.00,MKD,7114.50,-7114.50
2017-11-22,Telekabel 8/9/10.2017,General,2550.00,MKD,1275.00,-1275.00
2017-11-23,Pazarenje,General,2100.00,MKD,-1050.00,1050.00
2017-11-23,Karticka,General,590.00,MKD,-590.00,590.00
2017-11-26,Pazarenje,General,650.00,MKD,-325.00,325.00
2017-11-26,Pravosmukalka i pernici,General,11000.00,MKD,-5500.00,5500.00
2017-11-26,Fen i sredstvo,General,1173.00,MKD,586.50,-586.50
2017-11-26,Farmerki,General,5100.00,MKD,2800.00,-2800.00
2017-11-28,Kapar kauc,General,3000.00,MKD,1500.00,-1500.00
2017-12-07,Pazarenje,General,550.00,MKD,-275.00,275.00
2017-12-12,Kirija,General,11100.00,MKD,-5550.00,5550.00
2017-12-23,Kredit 12.2017,General,14223.00,MKD,7111.50,-7111.50
2017-12-29,Pazarenje + sprej za kozni raboti,General,1200.00,MKD,-600.00,600.00
2017-12-29,Telekabel 11.2017,General,850.00,MKD,425.00,-425.00
2017-12-29,Parno 10.2017,General,1623.00,MKD,811.50,-811.50
2017-12-29,Evn 10-11.2017,General,842.00,MKD,421.00,-421.00
2017-12-29,Vodovod 10.2017,General,378.00,MKD,189.00,-189.00
2018-01-10,Viski,General,2300.00,MKD,-2300.00,2300.00
2018-01-10,Kafe i wc,General,300.00,MKD,-150.00,150.00
2018-01-12,Kirija,General,11100.00,MKD,-5550.00,5550.00
2018-01-14,Pazarenje ramstor,General,1200.00,MKD,-600.00,600.00
2018-01-20,Kredit 01.2018,General,14233.00,MKD,7116.50,-7116.50
2018-01-20,Karta skijanje,General,600.00,MKD,-600.00,600.00
2018-01-22,Vodovod 12.2017,General,471.00,MKD,235.50,-235.50
2018-01-22,Vodovod 11.2017,General,254.00,MKD,127.00,-127.00
2018-01-22,Evn 11-12.2016,General,907.00,MKD,453.50,-453.50
2018-01-22,Beg 11.2017,General,1629.00,MKD,814.50,-814.50
2018-01-22,Beg 12.2017,General,1623.00,MKD,811.50,-811.50
2018-01-29,Pazarenje denes i vcera,General,600.00,MKD,-300.00,300.00
2018-02-02,Za frizer,General,500.00,MKD,-500.00,500.00
2018-02-02,Kirija,General,7400.00,MKD,-3700.00,3700.00
2018-02-06,Skijanje,Taxes,1000.00,MKD,-1000.00,1000.00
2018-02-09,Narakvici za tato,General,1000.00,MKD,-500.00,500.00
2018-02-12,Pazarenje,General,1000.00,MKD,500.00,-500.00
2018-02-21,Pazarenje,General,800.00,MKD,-400.00,400.00
2018-03-01,Kredit rata 02.2018,General,14292.00,MKD,7146.00,-7146.00
2018-03-06,Evn 12.17-01.18,General,857.00,MKD,428.50,-428.50
2018-03-06,Evn 01.2018-02.2018,General,776.00,MKD,388.00,-388.00
2018-03-06,Beg 01.2018,General,1661.00,MKD,830.50,-830.50
2018-03-06,Vodovod 01.2018,General,318.00,MKD,159.00,-159.00
2018-03-06,Vodovod 02.2018,General,534.00,MKD,267.00,-267.00
2018-03-06,Kirija,General,1200.00,MKD,-600.00,600.00
2018-03-11,Pazarenje,General,1600.00,MKD,800.00,-800.00
2018-03-13,Pazarenje,General,1250.00,MKD,-625.00,625.00
2018-03-14,Jane D. paid John D.,Payment,2000.00,MKD,-2000.00,2000.00
2018-03-14,Jane D. paid John D.,Payment,9266.00,MKD,-9266.00,9266.00
2018-03-16,Kredit 03.2018,General,14236.00,MKD,7118.00,-7118.00
2018-03-30,Pazarenje,General,800.00,MKD,-400.00,400.00
2018-04-02,Pazarenje,General,500.00,MKD,-250.00,250.00
2018-04-04,Frizider,General,25000.00,MKD,12500.00,-12500.00
2018-04-04,Dushek kapar,General,2000.00,MKD,1000.00,-1000.00
2018-04-04,Kujna ,General,35000.00,MKD,-17500.00,17500.00
2018-04-04,Kirija,General,11100.00,MKD,-5550.00,5550.00
2018-04-05,Karposh kazna,General,9266.00,MKD,-4633.00,4633.00
2018-04-12,Telekabel 12.2017-03.2018,General,3400.00,MKD,1700.00,-1700.00
2018-04-19,Beg 02.2018,General,1623.00,MKD,811.50,-811.50
2018-04-19,Vidovod 03.2018,General,254.00,MKD,127.00,-127.00
2018-04-19,Evn 02.2018-03.2018,General,796.00,MKD,398.00,-398.00
2018-04-23,Ti gi dozedov 100kite,General,800.00,MKD,800.00,-800.00
2018-04-29,Kredit rata 04.2018,General,14231.00,MKD,7115.50,-7115.50
2018-05-07,Toni,General,15000.00,MKD,-7500.00,7500.00
2018-05-10,Frizider i pazarenje,General,1000.00,MKD,-500.00,500.00
2018-05-13,Toni (25.000-baba) + susarka,General,7200.00,MKD,-3600.00,3600.00
2018-05-16,Pazarenje,General,900.00,MKD,-450.00,450.00
2018-05-16,Telekabel 04.18,General,850.00,MKD,425.00,-425.00
2018-05-17,Telekabel 05.2018,General,850.00,MKD,425.00,-425.00
2018-05-17,Gazdarica,General,800.00,MKD,-400.00,400.00
2018-05-23,Pazarenje,General,1000.00,MKD,-500.00,500.00
2018-05-24,Toni,General,21000.00,MKD,-10500.00,10500.00
2018-05-30,Pazarenje,General,1000.00,MKD,-500.00,500.00
2018-06-05,Pazarenje ,General,3600.00,MKD,-1800.00,1800.00
2018-06-10,Stica za peglanje,General,1250.00,MKD,-625.00,625.00
2018-06-10,Klima,General,3600.00,MKD,1800.00,-1800.00
2018-06-10,Pazarenje,General,1000.00,MKD,500.00,-500.00
2018-06-10,Kredit  05.2018,General,14232.00,MKD,7116.00,-7116.00
2018-06-10,Karposh kazna 04.2018,General,9277.00,MKD,-4638.50,4638.50
2018-06-14,Pazarenje ,General,600.00,MKD,-300.00,300.00
2018-06-14,Toni+racki,General,7100.00,MKD,3550.00,-3550.00
2018-06-16,Sijalici,General,1600.00,MKD,-800.00,800.00
2018-06-16,Benzin,Gas/fuel,1600.00,MKD,-1600.00,1600.00
2018-06-18,Kredit 06.2018,General,14235.00,MKD,7117.50,-7117.50
2018-06-22,"Masa, tepih i dodatoci",General,8700.00,MKD,-4350.00,4350.00
2018-06-24,Toni (14-5 od baba dragica),General,9000.00,MKD,-4500.00,4500.00
2018-07-03,Roletni,General,9500.00,MKD,-4750.00,4750.00
2018-07-16,Kredit 07.2018,General,14229.00,MKD,7114.50,-7114.50
2018-07-25,Roletni,General,9000.00,MKD,-4500.00,4500.00
2018-07-29,Luster,General,1600.00,MKD,-800.00,800.00
