Date,Description,Category,Cost,Currency,Person 1,Person 2,Person 3,Person 4,Person 5,Person 6,Person 7
2025-12-06,Expense 1,General,9400.00,MKD,-1342.86,-1342.85,-1342.86,-1342.85,-1342.86,-1342.86,8057.14
2025-12-06,Expense 2,General,5300.00,MKD,-757.14,-757.14,-757.14,-757.14,4542.86,-757.15,-757.15
2025-12-06,Expense 3,General,9700.00,MKD,-1385.71,-1385.71,8314.28,-1385.72,-1385.72,-1385.71,-1385.71
2025-12-06,Expense 4,General,3300.00,MKD,-471.42,-471.43,-471.43,-471.43,-471.43,2828.57,-471.43
2025-12-06,Expense 5,General,9400.00,MKD,8057.14,-1342.86,-1342.86,-1342.85,-1342.86,-1342.85,-1342.86
2025-12-06,Expense 6,General,5300.00,MKD,-757.14,-757.15,-757.15,4542.86,-757.14,-757.14,-757.14
2025-12-06,Expense 7,General,5000.00,MKD,-714.28,4285.71,-714.28,-714.28,-714.29,-714.29,-714.29
2025-12-06,Expense 8,General,1200.00,MKD,-200.00,0.00,1000.00,-200.00,-200.00,-200.00,-200.00
2025-12-06,Expense 9,General,5000.00,MKD,4000.00,0.00,-1000.00,-1000.00,-1000.00,-1000.00,0.00
2025-12-06,Expense 10,General,2000.00,MKD,1714.29,-285.72,-285.72,-285.72,-285.71,-285.71,-285.71
2025-12-07,Expense 11,General,33000.00,MKD,-4714.28,-4714.29,-4714.28,28285.71,-4714.28,-4714.29,-4714.29
2025-12-07,Expense 12,Payment,2571.44,MKD,0.00,0.00,0.00,-2571.44,0.00,0.00,2571.44
2025-12-07,Expense 13,Payment,9671.43,MKD,0.00,0.00,0.00,-9671.43,0.00,9671.43,0.00
2025-12-07,Expense 14,General,4670.00,MKD,-934.00,3736.00,-934.00,-934.00,-934.00,0.00,0.00
2025-12-08,Expense 9,General,1000.00,MKD,-250.00,0.00,750.00,-250.00,-250.00,0.00,0.00
2025-12-08,Expense 15,General,3150.00,MKD,-630.00,-630.00,2520.00,-630.00,-630.00,0.00,0.00
2025-12-08,Expense 16,General,550.00,MKD,-110.00,-110.00,-110.00,-110.00,440.00,0.00,0.00
2025-12-08,Expense 17,Payment,9045.43,MKD,0.00,0.00,0.00,-9045.43,9045.43,0.00,0.00
2026-02-05,Expense 18,Payment,2116.28,MKD,0.00,2116.28,0.00,-2116.28,0.00,0.00,0.00
2026-02-05,Expense 19,Payment,154.56,MKD,0.00,154.56,-154.56,0.00,0.00,0.00,0.00
2026-06-29,Expense 20,Payment,1504.60,MKD,-1504.60,1504.60,0.00,0.00,0.00,0.00,0.00
2026-07-04,Expense 21," "," ",MKD,0.00,0.00,0.00,0.00,0.00,0.00,0.00
